Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",0603,2,10u,
"C10, C11, C12, C13, C14, C16, C19, C20, C25, C34, C4, C6, C9",0402,13,100n,
"C15, C2, C3, C7, C8",0603,5,22u,
"C17, C22, C23, C24",0402,4,2.2u,
C18,0402,1,C_Small,
C21,1206,1,1n,
"C26, C27, C28, C29",0805,4,10u,
"C30, C31",0805,2,22u,
C32,0402,1,1n,
C33,0402,1,220p,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D8, D9",LED_WS2812B-2020_PLCC4_2.0x2.0mm,72,WS2812B-2020,
D73,0603,1,Amber,
D74,0603,1,White,
J1,PinHeader_1x04_P1.27mm_Vertical,1,UART,
J2,U.FL_Molex_MCRF_73412-0110_Vertical,1,GPS,
J3,USB_C_Receptacle_G-Switch_GT-USB-7051x,1,USB_C_Receptacle_USB2.0_16P,
J4,PinHeader_1x02_P1.27mm_Vertical,1,BAT,
J5,PinHeader_1x03_P1.27mm_Horizontal,1,Conn_01x03_Pin,
"J6, J7",PinHeader_1x02_P1.27mm_Vertical,2,ON,
"JP1, JP2",TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,2,BOOT,
L1,L_Coilcraft_XxL4040,1,1u,
L2,IND_SPM6530_TDK,1,2.2u,
L3,0402,1,TBD,
L4,IND_SRP2512TMA_BRN,1,0.47u,
Q1,SOT-23,1,BSS84,
Q2,SOT-23,1,BSS123,
"R1, R10, R11, R12, R22, R24, R25, R4, R5, R9",0402,10,100k,
R13,0402,1,10,
R14,0402,1,470,
R15,0402,1,1k2,
R16,0402,1,14k,
R17,0402,1,13.3k,
"R18, R20",0402,2,10M,
R19,0402,1,1M,
R21,0402,1,0,
"R23, R7",0402,2,10k,
"R26, R27, R28, R29",0402,4,4.7k,
R3,0402,1,732k,
R8,0402,1,33.2k,
SW1,59170-1-S-00-D,1,SW_Reed,
U1,SOT-563,1,TPS61023DRLR,
U2,SOT-23-6,1,TPS563200,
U3,ESP32-C6-MINI-1,1,ESP32-C6-MINI-1,
U4,BMI270_BOS,1,BMI270,
U5,ublox_MAX,1,MAX-M8Q,
U6,BGA9_BMM350_BOS,1,BMM350,
U7,MAX77751CEFG+,1,MAX77751CEFG+,
U8,SOT-23-5,1,LPV521,
U9,21-0164_L1022&plus_1_MXM,1,MAX4906ELB+T,
